Partido,Nome,Data Nascimento,Altura,Nacionalidade,Gênero
UNIÃO,Gilberto Lira,16/01/1976,1.80,Acre,Masculino
UNIÃO,Whendy Lima,23/09/1982,1.77,Acre,Masculino
UNIÃO,Felipe Mota,21/04/1971,1.83,Ceará,Masculino
UNIÃO,Dorinha Resende,1/10/1964,1.56,Goías,Feminino
UNIÃO,Jayme Campos,13/09/1951,1.78,Mato Grosso ,Masculino
UNIÃO,Romero Lima,22/04/1992,1.77,Pernambuco,Masculino
UNIÃO,Catarina Guerra,28/01/1986,1.53,Roraima,Feminino
UNIÃO,Lelo Maia,24/04/1985,1.73,Alagoas,Masculino
UNIÃO,Thiago Abrahim,6/12/1992,1.79,Amazonas,Masculino
UNIÃO,Paulo do Carmo,09/10/1976,1.83,Paraná,Masculino
PT,Rosberg Pinto,14/04/1956,1.81,Bahia,Masculino
PT,José Néri,19/10/1968,1.75,Piauí,Masculino
PT,Elika Takimoto,10/02/1973,1.52,Rio de Janeiro,Feminino
PT,Chico Vigilante,08/09/1954,1.73,Maranhão,Masculino
PT,Macaé Evaristo,03/04/1965,1.64,Minas Gerais,Feminino
PT,Luiz Teixeira,10/09/1962,1.74,São Paulo,Masculino
PT,Adão Pretto FIlho,02/05/1987,1.74,Rio Grande do Sul,Masculino
PT,Dirceu Caten,6/11/1989,1.82,Pará,Masculino
PT,Fábio Novo,20/07/1974,1.73,Piauí,Masculino
PT,Ana Júlia Ribeiro,30/06/2000,1.60,Paraná,Feminino
PSDB,Adolfo Viana,02/02/1981,1.76,Bahia,Masculino
PSDB,Lêda Borges,02/11/1961,1.58,Goias,Feminino
PSDB,Aécio Neves,10/03/1960,1.74,Minas Gerais,Masculino
PSDB,Beto Pereira,14/11/1977,1.73,Mato Grosso do Sul,Masculino
PSDB,Geraldo Resende,20/04/1955,1.80,Mato Grosso do Sul,Masculino
PSDB,Vitor Lippi,18/05/1959,1.75,São Paulo,Masculino
PSDB,Daniel Trzeciak,04/11/1986,1.78,Rio Grande do Sul,Masculino
PSDB,Lucas Redecker,26/05/1981,1.76,Rio Grande do Sul,Masculino
PSDB,Paulo Barbosa,09/01/1979,1.73,São Paulo,Masculino
PSDB,Beto Richa,29/07/1965,1.78,Paraná,Masculino
PSD,Hugo Leal,06/10/1962,1.72,Minas Gerais,Masculino
PSD,Júnior Ferrari,13/07/1967,1.74,Pará,Masculino
PSD,Castro Neto,23/04/1974,1.76,Piauí,Masculino
PSD,Luisa Canziani,11/04/1996,1.62,Paraná,Feminino
PSD,Antonio Brito,17/01/1969,1.77,Bahia,Masculino
PSD,Paulo Magalhães,28/11/1952,1.76,Bahia,Masculino
PSD,Misael Varella,27/11/1959,1.77,Minas Gerais,Masculino
PSD,Júlio César,25/08/1948,1.73,Piauí,Masculino
PSD,Ricardo Silva,01/09/1985,1.74,São Paulo,Masculino
PSD,Ismael Alexandrino,26/07/1983,1.73,Goías,Masculino
PP,Arthur Lira,25/06/1969,1.78,Alagoas,Masculino
PP,Max Beltrão,28/11/1979,1.75,Alagoas,Masculino
PP,Ricardo Barros,15/11/1959,1.76,Paraná,Masculino
PP,Eduardo da Fonte,17/10/1972,1.74,Pernambuco,Masculino
PP,Tião Medeiros,08/01/1983,1.75,Paraná,Masculino
PP,Dimas Fabiano,23/05/1973,1.78,Minas Gerais,Masculino
PP,Covatti Filho,25/07/1987,1.74,Rio Grande do Sul,Masculino
PP,Aguinaldo Ribeiro,13/02/1969,1.76,Paraíba,Masculino
PP,Maurício Neves,05/11/1979,1.76,São Paulo,Masculino
PP,Lázaro Botelho,11/02/1947,1.72,Tocantins,Masculino
